Country,Rank,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
"Philippines",0.460000,0.480000,0.430000,0.470000,0.410000,0.670000,0.470000,0.460000,0.310000
"Belarus",0.450000,0.260000,0.490000,0.310000,0.340000,0.810000,0.430000,0.550000,0.390000
"Côte d'Ivoire",0.450000,0.390000,0.350000,0.360000,0.450000,0.670000,0.520000,0.510000,0.360000
"Kenya",0.450000,0.480000,0.270000,0.500000,0.480000,0.550000,0.450000,0.500000,0.390000
"Kyrgyzstan",0.450000,0.430000,0.290000,0.490000,0.460000,0.750000,0.400000,0.470000,0.330000
"Togo",0.450000,0.370000,0.420000,0.310000,0.450000,0.690000,0.500000,0.470000,0.360000
"Zambia",0.450000,0.460000,0.380000,0.400000,0.400000,0.680000,0.430000,0.460000,0.400000
"Guatemala",0.440000,0.490000,0.340000,0.530000,0.530000,0.600000,0.420000,0.340000,0.300000
"Lebanon",0.440000,0.480000,0.360000,0.440000,0.460000,0.650000,0.440000,0.400000,0.310000
"Liberia",0.440000,0.500000,0.310000,0.460000,0.520000,0.610000,0.410000,0.410000,0.310000
"Angola",0.430000,0.400000,0.440000,0.370000,0.370000,0.600000,0.430000,0.440000,0.360000
"El Salvador",0.430000,0.360000,0.350000,0.430000,0.410000,0.710000,0.480000,0.490000,0.220000
"Madagascar",0.430000,0.420000,0.270000,0.450000,0.460000,0.710000,0.380000,0.420000,0.310000
"Niger",0.430000,0.370000,0.390000,0.350000,0.450000,0.600000,0.460000,0.440000,0.350000
"Russia",0.430000,0.310000,0.420000,0.450000,0.360000,0.630000,0.470000,0.500000,0.290000
"Sierra Leone",0.430000,0.470000,0.350000,0.380000,0.490000,0.660000,0.350000,0.410000,0.360000
"Honduras",0.420000,0.390000,0.320000,0.450000,0.460000,0.640000,0.390000,0.410000,0.270000
"Turkey",0.420000,0.290000,0.450000,0.400000,0.310000,0.720000,0.420000,0.400000,0.340000
"Guinea",0.410000,0.370000,0.290000,0.360000,0.490000,0.710000,0.370000,0.390000,0.310000
"Mexico",0.410000,0.430000,0.270000,0.570000,0.470000,0.520000,0.430000,0.370000,0.250000
"Republic of the Congo",0.400000,0.360000,0.300000,0.330000,0.390000,0.630000,0.430000,0.440000,0.330000
"Gabon",0.400000,0.310000,0.250000,0.370000,0.440000,0.650000,0.460000,0.400000,0.300000
"Nigeria",0.400000,0.490000,0.320000,0.420000,0.420000,0.360000,0.410000,0.440000,0.380000
"Zimbabwe",0.400000,0.330000,0.310000,0.330000,0.340000,0.680000,0.360000,0.460000,0.360000
"Bangladesh",0.390000,0.360000,0.330000,0.400000,0.300000,0.630000,0.390000,0.360000,0.310000
"Iran",0.390000,0.320000,0.380000,0.270000,0.200000,0.630000,0.430000,0.510000,0.340000
"Mali",0.390000,0.410000,0.320000,0.440000,0.480000,0.370000,0.460000,0.400000,0.290000
"Mozambique",0.390000,0.410000,0.340000,0.360000,0.390000,0.500000,0.390000,0.420000,0.310000
"Uganda",0.390000,0.380000,0.270000,0.390000,0.340000,0.570000,0.430000,0.420000,0.320000
"Pakistan",0.380000,0.450000,0.320000,0.410000,0.370000,0.370000,0.380000,0.390000,0.360000
"Bolivia",0.370000,0.350000,0.230000,0.440000,0.440000,0.600000,0.380000,0.300000,0.200000
"Ethiopia",0.370000,0.330000,0.410000,0.300000,0.280000,0.530000,0.360000,0.410000,0.350000
"Cameroon",0.360000,0.370000,0.250000,0.340000,0.360000,0.480000,0.410000,0.420000,0.230000
"Mauritania",0.360000,0.340000,0.300000,0.280000,0.380000,0.630000,0.290000,0.400000,0.270000
"Egypt",0.350000,0.240000,0.370000,0.230000,0.240000,0.650000,0.350000,0.380000,0.340000
"Sudan",0.350000,0.270000,0.350000,0.340000,0.320000,0.520000,0.330000,0.350000,0.340000
"Democratic Republic of the Congo",0.340000,0.390000,0.170000,0.340000,0.400000,0.470000,0.350000,0.350000,0.280000
"Myanmar",0.340000,0.260000,0.410000,0.280000,0.180000,0.580000,0.410000,0.320000,0.230000
"Nicaragua",0.340000,0.220000,0.300000,0.300000,0.280000,0.690000,0.350000,0.300000,0.240000
"Haiti",0.330000,0.350000,0.230000,0.330000,0.430000,0.430000,0.270000,0.340000,0.250000
"Afghanistan",0.320000,0.350000,0.300000,0.330000,0.250000,0.380000,0.350000,0.320000,0.250000
"Cambodia",0.310000,0.250000,0.230000,0.230000,0.330000,0.660000,0.260000,0.260000,0.260000
"Venezuela",0.260000,0.180000,0.260000,0.270000,0.290000,0.530000,0.190000,0.250000,0.110000
